排名,仓库名,描述,语言,Stars,Forks,链接
1,Fincept-Corporation / FinceptTerminal,"FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment.",Python,"10,946","1,453",https://github.com/Fincept-Corporation/FinceptTerminal
2,thunderbird / thunderbolt,AI You Control: Choose your models. Own your data. Eliminate vendor lock-in.,TypeScript,"3,199",192,https://github.com/thunderbird/thunderbolt
3,zilliztech / claude-context,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.,TypeScript,"6,283",545,https://github.com/zilliztech/claude-context
4,ruvnet / RuView,"π RuView: WiFi DensePose turns commodity WiFi signals into real-time human pose estimation, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,"48,676","6,493",https://github.com/ruvnet/RuView
5,microsoft / ai-agents-for-beginners,12 Lessons to Get Started Building AI Agents,Jupyter Notebook,"57,294","19,837",https://github.com/microsoft/ai-agents-for-beginners
6,dayanch96 / YTLite,A flexible enhancer for YouTube on iOS,Logos,"4,727","20,113",https://github.com/dayanch96/YTLite
7,HKUDS / RAG-Anything,"""RAG-Anything: All-in-One RAG Framework""",Python,"16,561","1,987",https://github.com/HKUDS/RAG-Anything
8,sansan0 / TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 + RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 + AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",Python,"53,328","23,510",https://github.com/sansan0/TrendRadar
