排名,仓库名,描述,语言,Stars,Forks,链接
1,"Fincept-Corporation /

      FinceptTerminal","FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment.",Python,"9,466","1,296",https://github.com/Fincept-Corporation/FinceptTerminal
2,"ruvnet /

      RuView","π RuView: WiFi DensePose turns commodity WiFi signals into real-time human pose estimation, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,"48,170","6,445",https://github.com/ruvnet/RuView
3,"thunderbird /

      thunderbolt",AI You Control: Choose your models. Own your data. Eliminate vendor lock-in.,TypeScript,"2,797",165,https://github.com/thunderbird/thunderbolt
4,"paperless-ngx /

      paperless-ngx","A community-supported supercharged document management system: scan, index and archive all your documents",Python,"39,406","2,533",https://github.com/paperless-ngx/paperless-ngx
5,"tractorjuice /

      arc-kit",Enterprise Architecture Governance & Vendor Procurement Toolkit,HTML,"1,326",165,https://github.com/tractorjuice/arc-kit
6,"koala73 /

      worldmonitor","Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,"50,034","8,144",https://github.com/koala73/worldmonitor
7,"openai /

      openai-agents-python","A lightweight, powerful framework for multi-agent workflows",Python,"23,915","3,691",https://github.com/openai/openai-agents-python
8,"deepseek-ai /

      DeepGEMM",DeepGEMM: clean and efficient FP8 GEMM kernels with fine-grained scaling,Cuda,"6,822",902,https://github.com/deepseek-ai/DeepGEMM
9,"pi-hole /

      pi-hole",A black hole for Internet advertisements,Shell,"57,154","3,041",https://github.com/pi-hole/pi-hole
10,"XTLS /

      Xray-core","Xray, Penetrates Everything. Also the best v2ray-core. Where the magic happens. An open platform for various uses.",Go,"37,429","5,209",https://github.com/XTLS/Xray-core
